What is Programming?,tAR3ZAwKc78,https://www.youtube.com/watch?v=tAR3ZAwKc78,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/tAR3ZAwKc78.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
What Is a Program?,rgpudseUzm4,https://www.youtube.com/watch?v=rgpudseUzm4,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/rgpudseUzm4.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Answer: First Programming Quiz,fxHDLaQuMZE,https://www.youtube.com/watch?v=fxHDLaQuMZE,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/fxHDLaQuMZE.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
First Programming Quiz,4sdCAEJ6XIA,https://www.youtube.com/watch?v=4sdCAEJ6XIA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/4sdCAEJ6XIA.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Congratulations,McM_L8OYQKg,https://www.youtube.com/watch?v=McM_L8OYQKg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/McM_L8OYQKg.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Language Ambiguity,xkLZIYLlyVA,https://www.youtube.com/watch?v=xkLZIYLlyVA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/xkLZIYLlyVA.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Grammar,7GmtPqX_YVg,https://www.youtube.com/watch?v=7GmtPqX_YVg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/7GmtPqX_YVg.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Backus Naur Form,B4wMpOhOako,https://www.youtube.com/watch?v=B4wMpOhOako,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/B4wMpOhOako.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Eat Quiz - Intro to Computer Science,JBiT_Nl-QtQ,https://www.youtube.com/watch?v=JBiT_Nl-QtQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/JBiT_Nl-QtQ.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Python Expressions - Intro to Computer Science,h999kz3DqWw,https://www.youtube.com/watch?v=h999kz3DqWw,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/h999kz3DqWw.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Answer: Speed of Light,GpmcsLkLTe4,https://www.youtube.com/watch?v=GpmcsLkLTe4,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/GpmcsLkLTe4.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Speed of Light,I_zY4o8ocFY,https://www.youtube.com/watch?v=I_zY4o8ocFY,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/I_zY4o8ocFY.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Processors,7W029jCZK0A,https://www.youtube.com/watch?v=7W029jCZK0A,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/7W029jCZK0A.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
Grace Hopper,BttvTL_O31g,https://www.youtube.com/watch?v=BttvTL_O31g,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/BttvTL_O31g.mp4,權,2017-05-30,杨亮,,Introduction to Serious Programming
,,,,,,,,
No video,,,,,,,,Work Session 1
,,,,,,,,
Variables,EkF4R4HRsuk,https://www.youtube.com/watch?v=EkF4R4HRsuk,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/EkF4R4HRsuk.mp4,權,2017-06-09,杨亮,,Variables and Strings
Answer: Variables Quiz,PUL5crPr3n8,https://www.youtube.com/watch?v=PUL5crPr3n8,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/PUL5crPr3n8.mp4,權,2017-06-09,杨亮,,Variables and Strings
Variables Quiz,wx5--g_2UPo,https://www.youtube.com/watch?v=wx5--g_2UPo,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/wx5--g_2UPo.mp4,權,2017-06-09,杨亮,,Variables and Strings
Variables Can Vary,3l33WBJuAFI,https://www.youtube.com/watch?v=3l33WBJuAFI,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/3l33WBJuAFI.mp4,權,2017-06-09,杨亮,,Variables and Strings
Answer: Spirit Age,HTK1IvpqpSs,https://www.youtube.com/watch?v=HTK1IvpqpSs,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/HTK1IvpqpSs.mp4,權,2017-06-09,杨亮,,Variables and Strings
Spirit Age,b3_HGpuprvc,https://www.youtube.com/watch?v=b3_HGpuprvc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/b3_HGpuprvc.mp4,權,2017-06-09,杨亮,,Variables and Strings
Strings,3A3TFVDrLCA,https://www.youtube.com/watch?v=3A3TFVDrLCA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/3A3TFVDrLCA.mp4,權,2017-06-09,杨亮,,Variables and Strings
Ada,bz9EaoffU9o,https://www.youtube.com/watch?v=bz9EaoffU9o,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/bz9EaoffU9o.mp4,權,2017-06-09,杨亮,,Variables and Strings
Answer: Hello!!!,nKRi-eBvM1E,https://www.youtube.com/watch?v=nKRi-eBvM1E,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/nKRi-eBvM1E.mp4,權,2017-06-09,杨亮,,Variables and Strings
Hello!!!,PFi0EZRoh40,https://www.youtube.com/watch?v=PFi0EZRoh40,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/PFi0EZRoh40.mp4,權,2017-06-09,杨亮,,Variables and Strings
Strings And Numbers,-2ioTOZML34,https://www.youtube.com/watch?v=-2ioTOZML34,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/-2ioTOZML34.mp4,權,2017-06-09,杨亮,,Variables and Strings
Indexing Strings,qUtAg5LeQrE,https://www.youtube.com/watch?v=qUtAg5LeQrE,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/qUtAg5LeQrE.mp4,權,2017-06-09,杨亮,,Variables and Strings
Selecting Sub Sequences,YY4TG43IdBg,https://www.youtube.com/watch?v=YY4TG43IdBg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/YY4TG43IdBg.mp4,權,2017-06-09,杨亮,,Variables and Strings
Answer: Capital Udacity,wqRGHJWwksg,https://www.youtube.com/watch?v=wqRGHJWwksg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/wqRGHJWwksg.mp4,權,2017-06-09,杨亮,,Variables and Strings
Capital Udacity,efvhcJ3hkw0,https://www.youtube.com/watch?v=efvhcJ3hkw0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/efvhcJ3hkw0.mp4,權,2017-06-09,杨亮,,Variables and Strings
Finding Strings in Strings,mP0AJXKoio0,https://www.youtube.com/watch?v=mP0AJXKoio0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/mP0AJXKoio0.mp4,權,2017-06-09,杨亮,,Variables and Strings
Finding with Numbers,HqltUuVzB2E,https://www.youtube.com/watch?v=HqltUuVzB2E,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/HqltUuVzB2E.mp4,權,2017-06-09,杨亮,,Variables and Strings
,,,,,,,,
Introduction to Work Session 2,zjFJcgr53aU,https://www.youtube.com/watch?v=zjFJcgr53aU,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/zjFJcgr53aU.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: Python Programming 1,FCMXhN6JJG4,https://www.youtube.com/watch?v=FCMXhN6JJG4,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/FCMXhN6JJG4.mp4,權,2017-06-16,杨亮,,Work Session 2
Python Programming 1,VbKL0tdvKdA,https://www.youtube.com/watch?v=VbKL0tdvKdA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/VbKL0tdvKdA.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: Bodacious Udacity,dgYeP1s8xkc,https://www.youtube.com/watch?v=dgYeP1s8xkc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/dgYeP1s8xkc.mp4,權,2017-06-16,杨亮,,Work Session 2
Bodacious Udacity,nqAA4Lm5G6U,https://www.youtube.com/watch?v=nqAA4Lm5G6U,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/nqAA4Lm5G6U.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: String Slicing,zOLEa1p3luE,https://www.youtube.com/watch?v=zOLEa1p3luE,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/zOLEa1p3luE.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: Slicing Multiple Strings,7Tg222j1EXA,https://www.youtube.com/watch?v=7Tg222j1EXA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/7Tg222j1EXA.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: String Concatenation,gg42VfazveM,https://www.youtube.com/watch?v=gg42VfazveM,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/gg42VfazveM.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: Finding Strings,0M5QOwl8nR8,https://www.youtube.com/watch?v=0M5QOwl8nR8,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/0M5QOwl8nR8.mp4,權,2017-06-16,杨亮,,Work Session 2
Finding Strings,0Kf93yDGdTo,https://www.youtube.com/watch?v=0Kf93yDGdTo,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/0Kf93yDGdTo.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: Find 2,ZtjATmIHNSo,https://www.youtube.com/watch?v=ZtjATmIHNSo,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/ZtjATmIHNSo.mp4,權,2017-06-16,杨亮,,Work Session 2
Find 2,MX2nLhPC0fY,https://www.youtube.com/watch?v=MX2nLhPC0fY,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/MX2nLhPC0fY.mp4,權,2017-06-16,杨亮,,Work Session 2
Answer: Replacing Strings,iZCEoBIojRs,https://www.youtube.com/watch?v=iZCEoBIojRs,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/iZCEoBIojRs.mp4,權,2017-06-16,杨亮,,Work Session 2
